name,country,institution,links,expertise
Feida Zhu,singapore,singapore management university,"Adrian Vu,Agus Trisnajaya Kwee,Ai Phuong Hoang,Aoying Zhou,Biao Chang,Bijay Neupane,Bin He,Binxuan Huang,Biying Tan,Bo Zhao,Bolin Ding,Byron Choi,Changyin Luo,Chen Chen,Chen Jason Zhang,Chen Lin,Cheng Li,Christian S. Jensen,Christos Faloutsos,Chu Guan,Chunyan Miao,Cindy Xide Lin,Clifton Phua,Daniel Berrar,David Lo,Denzil Correa,Dhaval Patel,Donghong Han,Ee-Peng Lim,Eng-Yeow Cheu,Enhong Chen,Fangshuang Tang,Fei Wang,Felicia Natali,Freddy Chong Tat Chua,Fulin Wei,Gao Cong,Ghim-Eng Yap,Guangming Guo,Guangyou Zhou,Guibing Guo,Guohui Li,Guoren Wang,Guozhong Dong,Han Su,Hanbo Dai,Hanghang Tong,Hengshu Zhu,Himanshu Aggarwal,Hisashi Kashima,Hong Cheng,Hong H. Nguyen,Hongchao Qin,Hongwei Liang,Hongyan Li,Hongyan Liu,Hoong Chuin Lau,Huan Sun,Hui Ma,Huiping Sun,Huiwen Liu,HweeHwa Pang,Jeffrey Yu,Jialie Shen,Jian Pei,Jianjun Li,Jianzong Wang,Jiawei Han,Jiayi Liu,Jie Zhang,Jill-Jênn Vie,Jinbo Zhang,Jing Jiang,Jing Ren,Jing Xiao,Jiuxin Cao,John Yen,Juan Du,Kai Zheng,Kasun S. Perera,Kathleen M. Carley,Ke Wang,Kelvin Sim,Koh Takeuchi,Kwan Hui Lim,Le Wu,Lei Chen,Lei Zhang,Lei Zhao,Lifeng Sun,Lindawati,Ling Cheng,Liqiang Nie,Liu Yang,Lu Liu,Meng Jiang,Mengqi Zhang,Michael Finegold,Michel C. Desmarais,Ming Gao,Minghui Qiu,Minh Nhut Nguyen,Mustafa Amir Faisal,Neil Yorke-Smith,Palakorn Achananuparp,Pan Zhou,Pavneet Singh Kochhar,Pei Hua Cher,Philip S. Yu,Philips Kokoh Prasetyo,Qi He,Qi Liu,Qiang Qu,Qiming Diao,Raghu Ramakrishnan,Rajiv Ratn Shah,Ramayya Krishnan,Richard Jayadi Oentaryo,Rong Yan,Roy Ka-Wei Lee,Rui Meng,Runquan Xie,Sein Minn,Shanshan Feng,Shengle Shi,Shilin Qu,Shiqiang Yang,Shuhui Wang,Shuoru Li,Siyuan Liu,Sourav S. Bhowmick,Su Mon Kywe,Suhua Tang,Sujian Li,Swapna Gottipati,Tao Zhou,Tianfeng Shang,Tong Xu,Tuan-Anh Hoang,Wei Chen,Wei Dong,Wei Gong,Wei Lee Woon,Wei Wang,Wei Wei,Wei Xie,Weining Qian,Wendi Ji,Wu Yang,Xianling Mao,Xiaofang Zhou,Xiaoling Wang,Xifeng Yan,Xin Mu,Xingwei Wang,Xu Chen,Xuan Luo,Xueqing Gong,Xun Wang,Xun Zhao,Yan Zhao,Ye Yuan,Yew-Yih Cheng,Yi Yu,Yingling Liu,Yong Liu,Yong Zhang,Yongfeng Zhang,Yongjun Xu,Youngsoo Kim,Yuan Li,Yuan Tian,Yubao Wu,Yuchong Hu,Yue Cui,Yue Liu,Yuhai Zhao,Yuliang Ma,Yunshi Lan,Yuying Tang,Zequn Zhang,Zeyar Aung,Zezhi Shao,Zhao Zhang,Zhaoyan Ming,Zhefeng Wang,Zhenhui Jessie Li,Zhi Yuan,Zhi-Hua Zhou,Zhiyong Cheng,Zhong Chen,Zhuohua Chen,Zicun Cong",5
Francesco Bonchi,italy,"isi foundation, turin","Adriana Iamnitchi,Alain Barrat,Albert Bifet,Albert-László Barabási,Alejandro Jaimes,Alessandro Flammini,Alessandro Vespignani,Alessio Mazzanti,Alex Pentland,Alfredo Cuzzocrea,Amit Goyal,Andrea Passarella,Andrea Passerini,Andrea Tagarelli,Andreas Kaltenbrunner,Andreas Nufer,André Panisson,Anna Monreale,Antonio Caliò,Antti Ukkonen,Arijit Khan,Aris Gkoulalas-Divanis,Aristides Gionis,Arkaprava Saha,Arno Siebes,Ashok Srivastava,Atsushi Miyauchi,Bart Goethals,Bart Moelans,Berkant Barla Cambazoglu,Bianca Zadrozny,Björn Bringmann,Bora Edizel,Bradley A. Malin,Brendan Kitts,Bruno Gonçalves,Bruno Lepri,Bruno Ordozgoiti,Bud Mishra,Byung-Won On,Börkur Sigurbjörnsson,Carlo Abrate,Carlos Castillo,Carlotta Domeniconi,Carmen Karina Vaca Ruiz,Caterina Calsamiglia,Charalampos E. Tsourakakis,Chen Greif,Chiara Boldrini,Chiara Madeddu,Chiara Renso,Christos Faloutsos,Ciro Cattuto,Claudio Lucchese,Corrado Monti,Cristian Gozzi,Danai Koutra,Daniele Quercia,Daniele Ramazzotti,David F. Gleich,David García-Soriano,David Megías,David Solans,Davide Mottin,Debora Donato,Dejing Dou,Denis Helic,Dimitrios Gunopulos,Dimitris Papadias,Dino Ienco,Dino Pedreschi,Dirk Helbing,Edo Liberty,Edoardo Galimberti,Elena Ferrari,Erkay Savas,Esteban Feuerstein,Fabio Pianesi,Fabrizio Scatena,Fabrizio Silvestri,Federico Cinus,Feng Luo,Filippo Menczer,Fosca Giannotti,Foster J. Provost,Francesca Chiaromonte,Francesca Pratesi,Francesco Fabbri,Francesco Gullo,Franco Maria Nardini,Franco Turini,Frank Dignum,Gabor Melli,Gabriele D'Acunto,Gennady L. Andrienko,Geoffrey J. McLachlan,George Karypis,George Kollios,Georgiana Ifrim,Giancarlo Ruffo,Gianmarco De Francisci Morales,Gianni Mainetto,Gilad Asharov,Giovanni Comandé,Giovanni Stilo,Giulia Preti,Giuseppe Manco,Guillermo Garrido,H. V. Jagadish,Hossein Vahabi,Ida Mele,Ilaria Bordino,Ingmar Weber,Ioanna Tsalouchidou,Isabel Méndez-Díaz,Jacob Ratkiewicz,Jaime S. Cardoso,Jean-François Boulicaut,Jennifer Hill,Jeroen van den Hoven,Jian Pei,Jianliang Xu,Jilles Vreeken,Joan Massachs,Josep Domingo-Ferrer,José L. Balcázar,Julia Stoyanovich,János Kertész,Katharina Morik,Kewen Liao,Kimmo Kaski,Konstantin Kutzkov,Krishna P. Gummadi,Laks V. S. Lakshmanan,Lilian Weng,Lisa Singh,Lise Getoor,Longbing Cao,Lorenzo Severini,Luca Chiarandini,Lucrezia Macchia,Ludovico Boratto,M. Arif Wani,Manos Papagelis,Marcin Sydow,Marco Conti,Marco Minici,Maria A. Tsiarli,Maria Luisa Croci,Mark Coté,Martino Ciaperoni,Matteo Riondato,Matthijs van Leeuwen,Maurizio Atzori,Mauro Sozio,Md. Imrul Kayes,Meike Zehlike,Michael Mathioudakis,Michael May,Michalis Potamias,Michele Berlingerio,Michele Curcio,Michèle Sebag,Mikalai Tsytsarau,Mirco Nanni,Mohamed Megahed,Myra Spiliopoulou,Natali Ruchansky,Neil Hurley,Nicola Barbieri,Nicola Perra,Nicolas Kourtellis,Nikolaj Tatti,Nikolaos Papailiou,Nuria Oliver,Oana Denisa Balalau,Ophir Frieder,Osman Abul,Osmar R. Zaïane,Panos Parchas,Paolo Bajardi,Paolo Boldi,Paolo Ferragina,Paul Beinat,Paul Lukowicz,Paula Zabala,Peter Dolog,Peter Vojtás,Piero Fraternali,Polina Rozenshtein,Pooya Esfandiar,Raffaele Perego,Rayid Ghani,Ricard Gavaldà,Ricardo Baeza-Yates,Riccardo Guidotti,Richard D. De Veaux,Roberto Trasarti,Rohit Kumar,Roman Yarovoy,Rong Duan,Rossano Schifanella,Rossano Venturini,Ruben Brokkelkamp,Salvatore Orlando,Salvatore Rinzivillo,Salvatore Ruggieri,Sara Hajian,Sebastiano Vigna,Selim Volkan Kaya,Shengbo Guo,Sihem Amer-Yahia,Silvia Chelazzi,Simon Pool,Sourav S. Bhowmick,Stan Matwin,Stefano Bistarelli,Sune Lehmann,Suresh Venkatasubramanian,T.-H. Hubert Chan,Tamir Tassa,Themis Palpanas,Thomas Gärtner,Thomas Wohler,Tianyi Chen,Timos Sellis,Tina Eliassi-Rad,Tom Chi,Tom Rolandus Hagedoorn,Tom Sühr,Tommaso Lanciano,Vassilios S. Verykios,Vicenç Torra,Vincent Leroy,Virginia Dignum,Wei Jiang,Wei Lu,Wei Wang,Wendy Hui Wang,Wray L. Buntine,Xiangyu Ke,Xiaolin Andy Li,Xin Huang,Xindong Wu,Yana Volkovich,Yasir Mehmood,Yllka Velaj,Yoëlle S. Maarek,Yücel Saygin,Zhi-Hua Zhou,Zitan Sun,Çigdem Aslay",3
George Papadakis,greece,university of athens,"Aad Versteden,Alexandros Belesiotis,Alicia Lara-Clares,Anca Popescu,Andrea Marinoni,Andreas Cziferszky,Andreas Ikonomopoulos,Andrew Fleming,Angelos Charalambidis,Antonio Fariña,Antonis Troumpoukis,Argyros Argyridis,Athanasios Davettas,Athanasios Papaoikonomou,Avigdor Gal,Axel-Cyrille Ngonga Ngomo,Charalambos Pappas,Christina-Maria Kastorini,Claudia Niederée,Claudia Paris,Daniele Marinelli,Demosthenes B. Panagiotakos,Despina-Athanasia Pantazi,Desta Haileselassie Hagos,Dimitrianos Savva,Dimitrios Skoutas,Dimitris Bilidas,Edward J. Riedl,Eelco Herder,Efi Karra Taniskidou,Efstathios Grigoropoulos,Ekaterini Ioannou,Emanouil Thanos,Emanuele Angiuli,Emmanouil Thanos,Emmanuel Sardis,Erika Pauwels,Fabian Abel,Florian Appel,Fotis Aisopos,George Alexiou,George Giannakopoulos,George Papastefanatos,George Stamoulis,Georgia Koutrika,Georgios M. Mandilaras,Georgios Paliouras,Georgios Papadakis,Gezim Sejdiu,Gianluca Demartini,Giorgos Argyriou,Giovanni Simonini,Giulio Weikmann,Hajira Jabeen,Haralampos J. Milionis,Iraklis A. Klampanos,Ivan Ermilov,Jens Lehmann,Jim Dowling,John A. Goudevenos,Jonathan Svirsky,Kallirroi Kalantzi,Konstantina Bereta,Konstantinos N. Vemmos,Konstantinos Tserpes,Kostas Stefanidis,Leonidas Tsekouras,Lorenzo Bruzzone,Luca Gagliardelli,Magdalini Kardara,Mandy Vlachogiannis,Mania Kardara,Manolis Koubarakis,Maria-Esther Vidal,Markus Muerth,Michele Lazzarini,Mohamed Nadjib Mami,Nikiforos Pittaras,Nikos Mamoulis,Odysseas Papapetrou,Oktie Hassanzadeh,Paolo Emilio Puddu,Paul Isaris,Paulo Nunes,Peter Fankhauser,Petra Mavridi,Philipp Kärger,Pythagoras Karampiperis,Ricardo Kawase,Ronald Siebes,Salman Khaleghian,Sergio Albani,Simon Scerri,Sina Sheikholeslami,Sonia Bergamaschi,Spyros Andronopoulos,Stasinos Konstantopoulos,Sören Auer,Thaddeus Neururer,Themis Palpanas,Theodora A. Varvarigou,Theofilos Kakantousis,Thomas Krämer,Tianze Wang,Torbjørn Eltoft,Vangelis Karkaletsis,Vasilis Efthymiou,Vassilios Nikolaou,Vassilis Christophides,Victor de Boer,Vladimir Vlassov,Wolfgang Nejdl",4
Georgia Koutrika,greece,athena research center,"Aditya G. Parameswaran,Akrivi Katifori,Alejandro Guerrero Gonzalez,Alessandro Mosca,Alexandros Zervakis,Alkis Simitsis,Amélie Marian,Ana Claudia Sima,Ana Nika,Anastasios Arvanitis,Andreas Kokkalis,Andreas Nürnberger,Antonis Litke,Antonis Mandamadiotis,Apostolis Glenis,Apostolos Glenis,Aurélien Personnaz,Barbara Pes,Benjamin Bercovitz,Benny Kimelfeld,Bogdan Alexe,Carlo Curino,Catherine Kosten,Chitra Venkatramani,Costantino Thanos,Craig P. Sayers,David Menestrina,David Tamez Cantu,Davide Lanti,Davide Mottin,Diego Calvanese,Dimitra Papadimitriou,Dimitrios Skoutas,Dimitris Papadopoulos,Donatella Castelli,Douglas Burdick,Ellery Smith,Emmanuel Müller,Epaminondas Kapetanios,Evaggelia Pitoura,Fatma Özcan,Filip Kaliszan,Francesco Alessandro Massucci,Francesco Multari,Frans Adjie Effendi,Frederic Bastian,George Alexiou,George Katsogiannis-Meimarakis,George Papadakis,George Papastefanatos,Guillem Rull,Guohui Xiao,Haggai Roitman,Hans-Jörg Schek,Hector Garcia-Molina,Heiko Schuldt,Hendrik Lücke-Tieke,Henry Liou,Howard Ho,Igor M. Boyko,Ioana Manolescu,Ioana Roxana Stanoi,Ioana Stanoi,Jan Vondrák,Jerry Liu,Jian Fan,Jishang Wei,John Mylopoulos,Joshua M. Hailpern,Kirsten Hildrum,Konstantinos Morfonios,Kostas Stefanidis,Kurt Stockinger,Laks V. S. Lakshmanan,Lei Liu,Leonardo Candela,Letizia Tanca,Lucian Popa,Manfred Thaller,Marialena Kyriakidi,Martin Braschler,Martin Theobald,Mauricio A. Hernández,Maurizio Atzori,Maximilian Fabricius,Meenakshi Nagarajan,Meichun Hsu,Michal Shmueli-Scheuer,Mirek Riedewald,Mohamed A. Sharaf,Molly Bullock,Natalia Manola,Nikita Klyuchnikov,Nikolaos Papadakis,Olga Papaemmanouil,Orest Gkini,Panagiotis Karras,Panagiotis Vagenas,Pasquale Pagano,Paul Heymann,Petros Venetis,Qian Lin,Rajasekar Krishnamurthy,Rares Vernica,Ravi Netravali,Robert Ikeda,Rohit Wagle,Ryan Wisnesky,Sam Madden,Sanjiv R. Das,Sara Cohen,Seamus Ross,Senjuti Basu Roy,Shanchan Wu,Shivakumar Vaithyanathan,Sihem Amer-Yahia,Sofian Maabout,Srividya Subramanian,Stavroula Eleftherakis,Steven Euijong Whang,Steven J. Simske,Tarcisio Mendes de Farias,Themis Palpanas,Theofilos Belmpas,Tiziana Catarci,Udi Chatow,Ursin Brunner,Wolfgang Nejdl,Yannis Alexandrakis,Yannis E. Ioannidis,Yannis Stavrakas,Yannis Velegrakis,Yogendra Patil,Zahra Mohammadi Zadeh,Zhan Li,Zoltán Gyöngyi",6
Georgia Koutrika,greece,athena research center,"Aditya G. Parameswaran,Akrivi Katifori,Alejandro Guerrero Gonzalez,Alessandro Mosca,Alexandros Zervakis,Alkis Simitsis,Amélie Marian,Ana Claudia Sima,Ana Nika,Anastasios Arvanitis,Andreas Kokkalis,Andreas Nürnberger,Antonis Litke,Antonis Mandamadiotis,Apostolis Glenis,Apostolos Glenis,Aurélien Personnaz,Barbara Pes,Benjamin Bercovitz,Benny Kimelfeld,Bogdan Alexe,Carlo Curino,Catherine Kosten,Chitra Venkatramani,Costantino Thanos,Craig P. Sayers,David Menestrina,David Tamez Cantu,Davide Lanti,Davide Mottin,Diego Calvanese,Dimitra Papadimitriou,Dimitrios Skoutas,Dimitris Papadopoulos,Donatella Castelli,Douglas Burdick,Ellery Smith,Emmanuel Müller,Epaminondas Kapetanios,Evaggelia Pitoura,Fatma Özcan,Filip Kaliszan,Francesco Alessandro Massucci,Francesco Multari,Frans Adjie Effendi,Frederic Bastian,George Alexiou,George Katsogiannis-Meimarakis,George Papadakis,George Papastefanatos,Guillem Rull,Guohui Xiao,Haggai Roitman,Hans-Jörg Schek,Hector Garcia-Molina,Heiko Schuldt,Hendrik Lücke-Tieke,Henry Liou,Howard Ho,Igor M. Boyko,Ioana Manolescu,Ioana Roxana Stanoi,Ioana Stanoi,Jan Vondrák,Jerry Liu,Jian Fan,Jishang Wei,John Mylopoulos,Joshua M. Hailpern,Kirsten Hildrum,Konstantinos Morfonios,Kostas Stefanidis,Kurt Stockinger,Laks V. S. Lakshmanan,Lei Liu,Leonardo Candela,Letizia Tanca,Lucian Popa,Manfred Thaller,Marialena Kyriakidi,Martin Braschler,Martin Theobald,Mauricio A. Hernández,Maurizio Atzori,Maximilian Fabricius,Meenakshi Nagarajan,Meichun Hsu,Michal Shmueli-Scheuer,Mirek Riedewald,Mohamed A. Sharaf,Molly Bullock,Natalia Manola,Nikita Klyuchnikov,Nikolaos Papadakis,Olga Papaemmanouil,Orest Gkini,Panagiotis Karras,Panagiotis Vagenas,Pasquale Pagano,Paul Heymann,Petros Venetis,Qian Lin,Rajasekar Krishnamurthy,Rares Vernica,Ravi Netravali,Robert Ikeda,Rohit Wagle,Ryan Wisnesky,Sam Madden,Sanjiv R. Das,Sara Cohen,Seamus Ross,Senjuti Basu Roy,Shanchan Wu,Shivakumar Vaithyanathan,Sihem Amer-Yahia,Sofian Maabout,Srividya Subramanian,Stavroula Eleftherakis,Steven Euijong Whang,Steven J. Simske,Tarcisio Mendes de Farias,Themis Palpanas,Theofilos Belmpas,Tiziana Catarci,Udi Chatow,Ursin Brunner,Wolfgang Nejdl,Yannis Alexandrakis,Yannis E. Ioannidis,Yannis Stavrakas,Yannis Velegrakis,Yogendra Patil,Zahra Mohammadi Zadeh,Zhan Li,Zoltán Gyöngyi",2
Giovanni Simonini,italy,university of modena and reggio emilia,"Ahmed K. Elmagarmid,Alberto Pietrangelo,Alicia Lara-Clares,Antonio Fariña,Davide Ferrari,Dimitrios Skoutas,Domenico Beneventano,El Kindi Rezig,Emmanouil Thanos,Fabio Benedetti,Federica Mandreoli,Felix Naumann,Francesco Guerra,George Giannakopoulos,George Papadakis,Georgios M. Mandilaras,Giuseppe Fiameni,H. V. Jagadish,Henrique Saccani,Ioannis K. Koumarelas,Laura Po,Lei Cao,Leonidas Tsekouras,Luca Gagliardelli,Luca Magnotta,Luca Zecchini,Manolis Koubarakis,Matteo Interlandi,Maurizio Vincini,Maxime Schoemans,Michael Stonebraker,Mirko Orsini,Mourad Ouzzani,Nan Tang,Nikiforos Pittaras,Paul Isaris,Riccardo Martoglia,Samuel Madden,Song Zhu,Sonia Bergamaschi,Themis Palpanas,Wenbo Tao,Yannis Velegrakis",2
Hakan Ferhatosmanoglu,turkey,university of warwick,"Abdurrahman Yasar,Ahmet Feyzi Ates,Ahmet Sacan,Ali Pinar,Ali Saman Tosun,Amit Singh,Amr El Abbadi,Aparajita Haldar,Aravind Ramachandran,Asia J. Biega,Ata Turk,Azin Ghazimatin,Bahaeddin Eravci,Berkant Barla Cambazoglu,Bharath Sriram,Bowen Du,Brendan Whitaker,Bugra Gedik,Cevdet Aykanat,Chris Conlan,Cuneyt Gurcan Akcora,Dave Fuhry,David Chiu,David L. Armbruster,Denis Newman-Griffis,Divesh Srivastava,Divyakant Agrawal,Donald C. Trost,Duygu Ucar,Elif Eser,Emre Yilmaz,Engin Demir,Engin Zeydan,Eric Fosler-Lussier,Erman Ayday,Ertem Tuncel,Fatih Altiparmak,Fuat Basik,Furkan Kocayusufoglu,Gagan Agrawal,George Vogiatzis,Gerhard Weikum,Graham Cormode,Guadalupe Canahuate,Gunduz Vehbi Demirci,Hande Adiguzel,Hayrettin Erdem,Hong Sun,Hongkai Wen,Hongming Zhu,Huseyin Coskun,Ibrahim Onuralp Yigit,Ingmar Weber,Ioana Stanoi,Ismail H. Toroslu,Ismail Hakki Toroslu,Izzeddin Gür,Josep Lluís Larriba-Pey,Kaan Bingöl,Keith W. Bedford,Kenneth Rose,Konstantin Klemmer,Krishna P. Gummadi,Kun-Lung Wu,Man Luo,Maoyin Zhang,Mehmet Ali Abbasoglu,Mehmet Güvercin,Mert Emin Kalender,Michael Gibas,Mihhail Matskin,Motonori Ota,Muhammed Fatih Bulut,Murat Ali Bayir,Murat Demirbas,Neslihan Bulut,Niket Tandon,Nilgun Ferhatosmanoglu,Ning Zheng,Onur Kucuktunc,Ozgur Ozturk,Petar Mrazovic,Pinar Duygulu,R. Oguz Selvitopi,Remzi Can Aksoy,Ron Li,Sanem Elbasi,Selnur Erdal,Selçuk Emre Solmaz,Selçuk Sözüer,Shuang Wang,Sima Iranmanesh,Sreyasi Nag Chowdhury,Srinivasan Parthasarathy,Tan Apaydin,Tanaya Guha,Tao Tao,Teddy Cunningham,Vishwash Batra,Weiren Yu,William C. Ray,Xiaoyan Liu,Xutong Niu,Yavuz Selim Yilmaz,Yulan He,Yusu Wang,Çagri Etemoglu,Çagri Özgenc Etemoglu,Çagri Özgenç Etemoglu,Ömer Egecioglu,Ümit Y. Ogras",7
Heiko Müller,united states,nyu,"Ahsan Morshed,Anastasios Kementsietsidis,Andrew Terhorst,Aruneema Das,Boris Glavic,Carlos Bautista,Chris Peters,Chris Rusbridge,Cornelius Frömmel,Daniel Liang,Daniel V. Smith,Divesh Srivastava,Felix Naumann,Floris Geerts,Heiko Mueller,Ina Koch,Ioannis Koltsidas,Jagannath Aryal,James Cheney,Jana Bauckmann,Jens Bleiholder,Johann Christoph Freytag,Juliana Freire,Katja Tham,Kerry Taylor,Kristian Rother,Liliana Cabral,Masayo Ota,Melanie Weis,Michael Compton,Michael Mielke,Mike Brachmann,Munaf A. Qazi,Oliver Kennedy,Peter Buneman,Peter Rieger,Peter Taylor,Ritaban Dutta,Robert Preissner,Rémi Rampin,Sam Lindley,Shuai Ma,Silke Trißl,Sonia Castelo,Stephan Heymann,Stratis Viglas,Su Feng,Thomas Steinke,Ulf Leser,Wenfei Fan,William Spoth,Yanfeng Shu,Ying Yang,Ziawasch Abedjan",2
Holger Pirk,united kingdom,imperial college,"Alexandros Koliousis,Alfons Kemper,Anil Shanbhag,Charalambos Kontoes,Charalampos Nikolaou,Corneliu Octavian Dumitru,Daniela Espinoza-Molina,Deepak Narayanan,Dimitrios Michail,Eleni Petraki,Eva Klien,Florian Funke,Fotios Kounelis,George Garbis,Georgios Theodorakis,Gottfried Schwarz,Ioannis Papoutsis,James J. Thomas,Jana Giceva,Johann-Christoph Freytag,Katrin Molch,Konrad Bösche,Konstantina Bereta,Kostis Kyzirakos,Malte Schwarzkopf,Manolis Koubarakis,Manos Karpathiotakis,Manuela Sagona,Mario Friske,Martin Grund,Martin L. Kersten,Matei Zaharia,Max Heimel,Michael Saecker,Michael Sioutis,Mihai Datcu,Mike Stonebraker,Milena Ivanova,Oscar R. Moll,Parimarjan Negi,Peter Mieth,Peter R. Pietzuch,Philippos Papaphilippou,Pratiksha Thaker,Rahul Palamuttam,René Beier,Robert Gregor,Sam Madden,Saman P. Amarasinghe,Samuel Madden,Sergio Perelli,Shoumik Palkar,Stavros Vassos,Stefan Manegold,Steffen Zeuch,Stratos Idreos,Themistoklis Herekakis,Themos Herekakis,Thibault Sellam,Thomas Kowalski,Thomas Neumann,Thorsten Reitz,Ugo Di Giammatteo,Ulf Leser,Volker Markl,Wayne Luk,Yagiz Kargin,Ying Zhang",6
Holger Pirk,united kingdom,"imperial college, uk","Alexandros Koliousis,Alfons Kemper,Anil Shanbhag,Charalambos Kontoes,Charalampos Nikolaou,Corneliu Octavian Dumitru,Daniela Espinoza-Molina,Deepak Narayanan,Dimitrios Michail,Eleni Petraki,Eva Klien,Florian Funke,Fotios Kounelis,George Garbis,Georgios Theodorakis,Gottfried Schwarz,Ioannis Papoutsis,James J. Thomas,Jana Giceva,Johann-Christoph Freytag,Katrin Molch,Konrad Bösche,Konstantina Bereta,Kostis Kyzirakos,Malte Schwarzkopf,Manolis Koubarakis,Manos Karpathiotakis,Manuela Sagona,Mario Friske,Martin Grund,Martin L. Kersten,Matei Zaharia,Max Heimel,Michael Saecker,Michael Sioutis,Mihai Datcu,Mike Stonebraker,Milena Ivanova,Oscar R. Moll,Parimarjan Negi,Peter Mieth,Peter R. Pietzuch,Philippos Papaphilippou,Pratiksha Thaker,Rahul Palamuttam,René Beier,Robert Gregor,Sam Madden,Saman P. Amarasinghe,Samuel Madden,Sergio Perelli,Shoumik Palkar,Stavros Vassos,Stefan Manegold,Steffen Zeuch,Stratos Idreos,Themistoklis Herekakis,Themos Herekakis,Thibault Sellam,Thomas Kowalski,Thomas Neumann,Thorsten Reitz,Ugo Di Giammatteo,Ulf Leser,Volker Markl,Wayne Luk,Yagiz Kargin,Ying Zhang",6
Hua Lu,denmark,aalborg university,"Adel Nadjaran Toosi,Aiste Pilvinyte,Anthony K. H. Tung,Anupam Joshi,Artur Baniukevic,Asif Iqbal Baba,Baowen Xu,Beng Chin Ooi,Bent Thomsen,Bin Cui,Bin Yang,Bin Yao,Bo Huang,Ce Zhang,Chengxuan Liao,Chenjuan Guo,Christian S. Jensen,Christian Thomsen,Christian de Haas,Chunyang Ma,Dan Lin,David Taniar,Dipanjan Chakraborty,Dongxiang Zhang,Dovydas Sabonis,Feichao Shi,Fuqiang Yu,Gang Chen,Gang Pan,Gang Zheng,Gao Cong,Guande Qi,Guojie Song,Haixin Wang,Harry Kai-Ho Chan,Hong Cheng,Hongga Li,Hongji Yang,Hongzhi Yin,Hoyoung Jeung,Hu Shu,Huan Li,Ilkcan Keles,Jens Laurits Pederseny,Jens Thomas Vejlby Nielsen,Jesper Møller,Ji Zhang,Ji-Rong Wen,Jiaheng Lu,Jiajun Liu,Jiakui Zhao,Jialie Shen,Jianliang Xu,Jianqiu Xu,Jiao Yu,Jiawei Jiang,Jinbin Huang,Jinchuan Chen,Jinling Jiang,Jinpeng Chen,Jonas Haustad,Junjie Yao,Juwei Shi,Kai Lei,Kai Zheng,Karl Aberer,Kasper Mullesgaard,Kazuya Sakai,Ke Chen,Kristian Torp,Lars Kulik,Laura Radaelli,Lei Zhao,Lele Yu,Lidan Shou,Lijiang Chen,Lingxiao Li,Linhao Xu,Lizhen Cui,Lone Leth Thomsen,Long Yang,Man Lung Yiu,Manfred Jaeger,Meihui Zhang,Michail Vaitis,Mikkel Boysen,Min-Te Sun,Mohammed Eunus Ali,Muhammad Aamir Cheema,Muhammad Umair,Nalini Venkatasubramanian,Nan Wang,Nattiya Kanhabua,Nikos Mamoulis,Omer Cheema,Pai Peng,Pengfei Li,Po-Wei Harn,Qian Zheng,Qingzhong Li,Qinkuang Chen,Quanqing Xu,Ralf Hartmut Giiting,Ralf Hartmut Güting,Reynold Cheng,Saket Sathe,Salil S. Kanhere,Sari Haj Hussein,Sha Zhao,Shijian Li,Shiyu Yang,Shujie Chen,Shuo Shang,Simonas Saltenis,Sougata Mukherjea,Søren Kejser Jensen,Tanvir Ahmed,Ten-Hwang Lai,Tiantian Liu,Toon Calders,Torben Bach Pedersen,Wangsheng Zhang,Wei Guo,Wei-Shinn Ku,Weifeng Zhang,Wenlu Wang,Xiao Qin,Xiaoling Gu,Xiaoming Lin,Xiaoyi Fu,Xieyang Wang,Xike Xie,Xin Cao,Xin Chen,Xinyu Guo,Xudong Lu,Xuegang Huang,Xunfei Jiang,Yafei Dai,Yafei Li,Yang Lu,Yaxiao Song,Yin Yang,Yongluan Zhou,Yunhai Tong,Yuxin Huang,Zhaohui Wu,Zhenjie Zhang,Zhifeng Bao,Zhihong Chong,Zhitao Gong,Zhiyong Huang,Zhou Shao,Zijin Feng",10
Huanchen Zhang,china,tsinghua,"Amadou Ngom,Ambarish Balakumar,Andrew Pavlo,Chuang Lin,Daniel Biales,David G. Andersen,Deepayan Patra,Dong Niu,Emmanuel J. Eppinger,Haojie Li,Hongkui Wang,Hyeontaek Lim,Jianqiao Liu,John Rollinson,Jordi E. Gonzalez,Kimberly Keeton,Li Yu,Lin Ma,Ling Zhang,Long Chen,Matthew Butrovich,Michael Kaminsky,Poojita Raj,Prashanth Menon,Rui Shen,Shichao Dong,Soumil Mukherjee,Stephanie Wang,Tanuj Nayak,Tiansong Li,Tianyu Li,Viktor Leis,Wan Shen Lim,Weifeng Sun,William Zhang,Wuwen Wang,Xiaoxuan Liu,Yao Yu,Yash Nannapaneni,Ziqi Dong,Ziqi Wang",5
